                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                0.84883,                0.63476,                 1.0922,                0.99564,                 0.9862,                0.99482,                0.80769,                 0.7415,                0.38576,                  1.037,              0.0016191,              0.0016191,              0.0016191
                     31,                0.82379,                0.59729,                 1.0797,                0.89087,                  0.942,                0.96573,                0.77992,                  0.733,                0.53224,                 1.0396,              0.0016175,              0.0016175,              0.0016175
                     32,                0.82243,                0.61211,                 1.0859,                0.99898,                0.99283,                  0.995,                0.80486,                0.73523,                0.36457,                 1.0299,              0.0016158,              0.0016158,              0.0016158
                     33,                0.80379,                0.53829,                 1.0788,                0.99631,                      1,                  0.995,                0.78881,                 0.7857,                0.38161,                   1.05,              0.0016142,              0.0016142,              0.0016142
                     34,                 0.8162,                0.55211,                 1.0709,                0.99382,                      1,                  0.995,                 0.8102,                0.74229,                0.33781,                 1.0535,              0.0016125,              0.0016125,              0.0016125
                     35,                0.89156,                0.57426,                 1.1278,                      1,                0.99376,                  0.995,                0.79309,                0.78213,                0.37643,                 1.0514,              0.0016109,              0.0016109,              0.0016109
                     36,                0.83483,                0.54147,                 1.0646,                0.99763,                 0.9988,                  0.995,                0.80166,                0.76161,                0.39022,                 1.0439,              0.0016092,              0.0016092,              0.0016092
                     37,                0.86221,                0.57565,                 1.1012,                0.99521,                0.99312,                  0.995,                0.78961,                0.78881,                0.39624,                 1.0472,              0.0016076,              0.0016076,              0.0016076
                     38,                0.81551,                0.54221,                 1.0837,                0.99813,                0.99412,                  0.995,                0.79375,                0.78593,                0.37526,                 1.0617,              0.0016059,              0.0016059,              0.0016059
                     39,                   0.82,                 0.5515,                 1.0827,                0.99242,                0.99087,                  0.995,                 0.7868,                0.79806,                0.38749,                 1.0766,              0.0016043,              0.0016043,              0.0016043
                     40,                0.80179,                0.57029,                 1.0721,                0.99799,                      1,                  0.995,                0.80826,                0.74628,                0.36247,                   1.06,              0.0016026,              0.0016026,              0.0016026
                     41,                0.82783,                0.57207,                 1.0686,                0.98871,                0.99494,                  0.995,                0.80525,                 0.7478,                0.36181,                 1.0399,               0.001601,               0.001601,               0.001601
                     42,                0.80415,                0.53245,                 1.0556,                0.99753,                0.99542,                  0.995,                0.79752,                0.76523,                0.37368,                 1.0258,              0.0015993,              0.0015993,              0.0015993
                     43,                0.80537,                 0.5379,                 1.0561,                0.98858,                 0.9984,                  0.995,                0.80794,                0.73262,                0.35615,                 1.0294,              0.0015977,              0.0015977,              0.0015977
                     44,                0.77885,                0.50604,                 1.0689,                0.98916,                0.98699,                0.99491,                0.74954,                0.85206,                0.41104,                 1.1104,               0.001596,               0.001596,               0.001596
                     45,                0.82525,                0.55043,                 1.0648,                0.99848,                0.99969,                  0.995,                0.80903,                0.73635,                0.36465,                 1.0506,              0.0015944,              0.0015944,              0.0015944
                     46,                0.76654,                0.53029,                 1.0675,                 0.9885,                0.98706,                0.99464,                0.80499,                0.77045,                0.37042,                 1.0466,              0.0015927,              0.0015927,              0.0015927
                     47,                0.86424,                0.53686,                 1.0595,                0.98549,                0.98069,                0.99419,                0.80341,                0.75572,                0.38191,                 1.0308,              0.0015911,              0.0015911,              0.0015911
                     48,                 0.8196,                0.51187,                 1.0551,                0.99553,                0.99607,                0.99415,                0.80156,                0.73191,                0.34437,                 1.0333,              0.0015894,              0.0015894,              0.0015894
                     49,                0.81504,                0.50588,                  1.075,                0.99606,                 0.9937,                  0.995,                0.80343,                0.73955,                0.34099,                 1.0427,              0.0015878,              0.0015878,              0.0015878
                     50,                0.78825,                0.50568,                 1.0739,                0.99649,                0.99458,                  0.995,                0.82902,                0.71124,                0.34481,                 1.0261,              0.0015861,              0.0015861,              0.0015861
                     51,                 0.8195,                0.51644,                 1.0647,                0.99888,                 0.9955,                  0.995,                 0.8294,                0.71393,                 0.3458,                 1.0249,              0.0015845,              0.0015845,              0.0015845
                     52,                0.78819,                0.51403,                 1.0598,                 0.9837,                0.99508,                0.99486,                 0.8239,                0.73753,                0.37088,                 1.0298,              0.0015828,              0.0015828,              0.0015828
                     53,                0.79676,                0.48708,                  1.073,                 0.9859,                0.99139,                0.99072,                0.80769,                0.78032,                0.39157,                 1.0529,              0.0015812,              0.0015812,              0.0015812
                     54,                0.79598,                0.52282,                 1.0664,                0.99065,                0.99537,                0.99126,                0.81419,                0.72619,                 0.3553,                 1.0398,              0.0015795,              0.0015795,              0.0015795
                     55,                0.79926,                0.50363,                 1.0619,                0.98498,                 0.9955,                0.99223,                 0.8166,                0.71652,                0.34344,                 1.0438,              0.0015779,              0.0015779,              0.0015779
                     56,                0.83857,                0.54293,                 1.0985,                      1,                 0.9956,                  0.995,                 0.8097,                0.73701,                0.34476,                 1.0498,              0.0015762,              0.0015762,              0.0015762
                     57,                0.77166,                0.49854,                 1.0548,                0.99829,                0.99758,                  0.995,                0.82227,                0.71207,                0.32504,                 1.0345,              0.0015746,              0.0015746,              0.0015746
                     58,                 0.7594,                0.47498,                 1.0486,                      1,                0.99898,                  0.995,                0.82133,                0.72507,                0.31584,                 1.0286,              0.0015729,              0.0015729,              0.0015729
                     59,                0.78112,                0.48286,                 1.0622,                0.99928,                0.99529,                  0.995,                0.82956,                0.72086,                 0.3291,                 1.0386,              0.0015713,              0.0015713,              0.0015713
                     60,                0.75798,                0.46715,                 1.0563,                 0.9912,                0.99939,                  0.995,                0.83035,                 0.6933,                0.31874,                 1.0281,              0.0015696,              0.0015696,              0.0015696
                     61,                 0.8212,                0.49574,                  1.073,                0.98977,                0.99666,                  0.995,                0.82403,                0.72211,                0.32229,                 1.0344,               0.001568,               0.001568,               0.001568
                     62,                0.79936,                0.46654,                 1.0648,                      1,                0.99737,                  0.995,                0.82853,                0.69027,                0.30748,                 1.0174,              0.0015663,              0.0015663,              0.0015663
                     63,                0.80465,                 0.5059,                 1.0758,                 0.9954,                0.99585,                  0.995,                0.81063,                0.74682,                0.33377,                   1.04,              0.0015647,              0.0015647,              0.0015647
                     64,                0.79182,                0.48265,                 1.0695,                0.97127,                0.98664,                  0.995,                0.81833,                0.72157,                0.35305,                 1.0436,               0.001563,               0.001563,               0.001563
                     65,                0.75143,                0.45504,                 1.0438,                0.99176,                 0.9967,                  0.995,                0.81084,                0.73754,                0.33973,                 1.0507,              0.0015614,              0.0015614,              0.0015614
                     66,                0.77306,                 0.4773,                 1.0446,                0.99016,                0.99949,                0.99468,                0.81116,                0.73687,                0.32668,                 1.0374,              0.0015597,              0.0015597,              0.0015597
                     67,                0.77003,                0.46309,                 1.0551,                 0.9955,                0.99393,                  0.995,                0.81611,                0.72851,                0.33336,                 1.0376,              0.0015581,              0.0015581,              0.0015581
                     68,                0.77449,                0.46675,                 1.0449,                0.99553,                0.98336,                0.99491,                0.81314,                0.74329,                 0.3506,                 1.0412,              0.0015564,              0.0015564,              0.0015564
                     69,                0.81465,                0.46901,                 1.0683,                0.99149,                0.99489,                0.99482,                0.83321,                0.69894,                0.31788,                 1.0265,              0.0015548,              0.0015548,              0.0015548
                     70,                 0.8064,                  0.472,                  1.068,                0.99957,                 0.9998,                  0.995,                0.82283,                0.71494,                0.31113,                 1.0262,              0.0015531,              0.0015531,              0.0015531
                     71,                0.80695,                0.52073,                  1.087,                0.99318,                      1,                  0.995,                0.80851,                0.75131,                0.32093,                 1.0479,              0.0015515,              0.0015515,              0.0015515
                     72,                0.77813,                0.48908,                 1.0528,                0.99973,                0.99975,                  0.995,                0.83174,                0.70581,                0.31639,                 1.0353,              0.0015498,              0.0015498,              0.0015498
                     73,                0.76844,                0.48807,                 1.0482,                0.99783,                 0.9947,                  0.995,                  0.819,                0.72878,                0.31804,                 1.0486,              0.0015482,              0.0015482,              0.0015482
                     74,                0.76061,                0.45785,                  1.059,                0.99916,                 0.9955,                  0.995,                 0.8258,                0.70465,                0.30652,                 1.0332,              0.0015465,              0.0015465,              0.0015465
                     75,                0.72498,                0.45003,                 1.0384,                0.99644,                0.99468,                  0.995,                  0.823,                0.73182,                0.31425,                 1.0413,              0.0015449,              0.0015449,              0.0015449
                     76,                0.74995,                0.45418,                  1.061,                0.98666,                0.99799,                0.99341,                0.81843,                0.71652,                0.32384,                  1.046,              0.0015432,              0.0015432,              0.0015432
                     77,                0.73345,                0.45104,                 1.0412,                0.98682,                0.99797,                  0.995,                0.82184,                0.73242,                 0.3224,                 1.0554,              0.0015416,              0.0015416,              0.0015416
                     78,                0.71207,                0.45376,                 1.0221,                  0.992,                 0.9955,                  0.995,                0.84114,                0.67009,                0.29696,                  1.014,              0.0015399,              0.0015399,              0.0015399
                     79,                 0.7558,                 0.4421,                 1.0372,                0.99728,                      1,                  0.995,                0.84188,                0.67815,                0.30257,                 1.0206,              0.0015383,              0.0015383,              0.0015383
                     80,                0.76435,                0.44661,                 1.0624,                0.99891,                 0.9955,                  0.995,                  0.836,                0.68723,                0.30475,                 1.0215,              0.0015366,              0.0015366,              0.0015366
                     81,                0.76232,                0.47526,                 1.0582,                0.99504,                      1,                  0.995,                0.83249,                0.67742,                0.30065,                 1.0067,               0.001535,               0.001535,               0.001535
                     82,                0.76164,                0.46426,                 1.0599,                0.99212,                0.99755,                  0.995,                0.83103,                0.68631,                0.32652,                 1.0036,              0.0015333,              0.0015333,              0.0015333
                     83,                0.75496,                0.47781,                 1.0468,                0.99199,                      1,                  0.995,                0.82508,                 0.6841,                 0.3089,                 1.0156,              0.0015317,              0.0015317,              0.0015317
                     84,                0.77249,                0.47594,                 1.0454,                0.99518,                0.99903,                  0.995,                0.83007,                0.70434,                0.30699,                 1.0235,                0.00153,                0.00153,                0.00153
                     85,                0.74982,                0.45206,                 1.0463,                0.98483,                0.98198,                 0.9946,                0.83456,                0.68878,                0.33341,                 1.0203,              0.0015284,              0.0015284,              0.0015284
                     86,                0.76019,                0.48345,                 1.0579,                0.99862,                 0.9955,                  0.995,                0.80927,                0.75661,                0.32776,                 1.0487,              0.0015267,              0.0015267,              0.0015267
                     87,                0.77582,                0.47435,                  1.061,                 0.9795,                      1,                  0.995,                0.81824,                0.71586,                 0.3282,                 1.0288,              0.0015251,              0.0015251,              0.0015251
                     88,                0.74872,                0.48855,                 1.0602,                0.99323,                      1,                  0.995,                0.83014,                0.69156,                0.31815,                 1.0161,              0.0015234,              0.0015234,              0.0015234
                     89,                 0.7208,                0.45408,                 1.0071,                0.99425,                      1,                  0.995,                0.83649,                0.67261,                0.30339,                 1.0139,              0.0015218,              0.0015218,              0.0015218
                     90,                0.73171,                0.43796,                 1.0635,                0.99482,                      1,                0.99496,                0.82921,                 0.6939,                0.30167,                 1.0261,              0.0015201,              0.0015201,              0.0015201
                     91,                0.74936,                0.44436,                 1.0552,                0.99464,                      1,                  0.995,                0.82757,                0.69971,                0.32234,                 1.0303,              0.0015185,              0.0015185,              0.0015185
                     92,                0.75648,                0.48536,                 1.0493,                0.99742,                      1,                  0.995,                0.83318,                0.67859,                0.29749,                 1.0173,              0.0015168,              0.0015168,              0.0015168
                     93,                0.77894,                0.45617,                 1.0623,                0.99964,                      1,                  0.995,                0.81049,                0.73092,                0.32103,                 1.0464,              0.0015152,              0.0015152,              0.0015152
                     94,                0.76206,                0.49262,                  1.059,                0.99327,                0.99494,                0.99487,                0.81249,                0.74223,                0.31465,                 1.0613,              0.0015135,              0.0015135,              0.0015135
                     95,                0.72352,                0.42423,                 1.0321,                 0.9995,                0.99717,                  0.995,                0.82807,                0.68412,                0.30465,                 1.0161,              0.0015119,              0.0015119,              0.0015119
                     96,                0.75719,                0.44307,                   1.06,                0.99805,                0.99099,                  0.995,                0.81309,                0.72461,                0.31393,                 1.0395,              0.0015102,              0.0015102,              0.0015102
                     97,                0.76634,                0.47367,                 1.0637,                0.98952,                0.99099,                0.99414,                0.82262,                 0.6988,                0.31117,                 1.0242,              0.0015086,              0.0015086,              0.0015086
                     98,                0.71592,                0.42235,                 1.0412,                0.99604,                0.99099,                  0.995,                 0.8369,                 0.6651,                0.29106,                  1.012,              0.0015069,              0.0015069,              0.0015069
                     99,                0.70114,                0.46569,                 1.0268,                0.99984,                  0.999,                  0.995,                0.83615,                0.66256,                0.29817,                 1.0121,              0.0015053,              0.0015053,              0.0015053
                    100,                0.69854,                0.44032,                 1.0256,                      1,                0.99618,                  0.995,                 0.8396,                0.66389,                0.30338,                 1.0169,              0.0015036,              0.0015036,              0.0015036
                    101,                0.72691,                0.44901,                 1.0371,                0.99845,                0.99952,                  0.995,                0.82612,                0.70194,                 0.3011,                 1.0349,               0.001502,               0.001502,               0.001502
                    102,                0.71882,                0.44022,                 1.0458,                0.99831,                0.99958,                  0.995,                0.84605,                0.66058,                0.29407,                 1.0169,              0.0015003,              0.0015003,              0.0015003
                    103,                0.73046,                 0.4413,                 1.0584,                0.99773,                0.99957,                  0.995,                0.81789,                 0.7294,                 0.3036,                  1.053,              0.0014987,              0.0014987,              0.0014987
                    104,                0.75251,                0.46141,                 1.0618,                0.99663,                      1,                  0.995,                0.83359,                0.66635,                0.29996,                 1.0152,               0.001497,               0.001497,               0.001497
                    105,                0.74528,                0.45572,                 1.0676,                0.99874,                      1,                  0.995,                0.82281,                0.71573,                0.28861,                 1.0366,              0.0014954,              0.0014954,              0.0014954
                    106,                 0.7635,                0.43807,                 1.0524,                0.99954,                0.99916,                  0.995,                0.84231,                 0.6524,                0.28515,                 1.0102,              0.0014937,              0.0014937,              0.0014937
                    107,                0.73624,                0.42657,                 1.0475,                 0.9986,                      1,                  0.995,                0.83627,                0.66365,                0.29299,                  1.009,              0.0014921,              0.0014921,              0.0014921
                    108,                0.69942,                0.45392,                  1.025,                0.99922,                      1,                  0.995,                0.83709,                0.67934,                0.30308,                 1.0092,              0.0014904,              0.0014904,              0.0014904
                    109,                0.73464,                0.44512,                 1.0378,                0.99866,                 0.9962,                  0.995,                 0.8388,                0.67995,                0.29767,                 1.0065,              0.0014888,              0.0014888,              0.0014888
                    110,                0.74911,                0.49256,                   1.05,                0.99792,                      1,                  0.995,                0.84027,                0.66168,                 0.3023,                 1.0033,              0.0014871,              0.0014871,              0.0014871
                    111,                0.74404,                0.48693,                 1.0631,                0.99653,                0.99226,                  0.995,                0.84164,                0.68336,                0.30214,                 1.0095,              0.0014855,              0.0014855,              0.0014855
                    112,                0.72488,                0.46134,                 1.0344,                0.99904,                      1,                  0.995,                0.81962,                0.73833,                0.32211,                 1.0363,              0.0014838,              0.0014838,              0.0014838
                    113,                0.72968,                0.46708,                 1.0363,                0.99966,                      1,                  0.995,                0.83802,                0.66433,                0.29004,                 1.0008,              0.0014822,              0.0014822,              0.0014822
                    114,                0.67504,                0.42323,                 1.0144,                0.99547,                      1,                  0.995,                0.84979,                0.65817,                0.28798,                 1.0031,              0.0014805,              0.0014805,              0.0014805
                    115,                0.75461,                0.44113,                 1.0567,                0.99413,                  0.997,                  0.995,                0.84009,                0.67674,                0.30678,                 1.0081,              0.0014789,              0.0014789,              0.0014789
                    116,                0.70975,                0.43661,                 1.0251,                0.99811,                      1,                  0.995,                0.82934,                0.71501,                 0.2965,                 1.0329,              0.0014772,              0.0014772,              0.0014772
                    117,                0.73558,                0.43645,                 1.0318,                0.99912,                      1,                  0.995,                0.84514,                0.66111,                0.28123,                 1.0051,              0.0014756,              0.0014756,              0.0014756
                    118,                0.71927,                0.42581,                 1.0336,                0.99897,                      1,                  0.995,                0.82297,                 0.7651,                0.30502,                 1.0635,              0.0014739,              0.0014739,              0.0014739
                    119,                0.74222,                0.43361,                 1.0561,                 0.9979,                      1,                  0.995,                0.83213,                0.71021,                0.29103,                 1.0299,              0.0014723,              0.0014723,              0.0014723
                    120,                0.71606,                0.42453,                 1.0186,                0.99943,                0.99665,                  0.995,                0.81735,                0.72985,                0.30639,                 1.0483,              0.0014706,              0.0014706,              0.0014706
                    121,                0.74956,                0.43523,                  1.039,                0.99502,                0.99453,                0.99469,                0.84431,                 0.6654,                0.29263,                  1.009,               0.001469,               0.001469,               0.001469
                    122,                0.74699,                0.45321,                 1.0409,                0.99365,                0.99177,                  0.995,                0.84751,                0.63076,                0.28928,                 0.9933,              0.0014673,              0.0014673,              0.0014673
                    123,                0.72891,                0.42901,                 1.0239,                0.99928,                 0.9955,                  0.995,                0.85021,                 0.6472,                0.28242,                0.99504,              0.0014657,              0.0014657,              0.0014657
                    124,                0.73512,                0.42192,                 1.0498,                0.99886,                 0.9955,                  0.995,                0.84468,                0.65936,                0.28065,                 1.0008,               0.001464,               0.001464,               0.001464
                    125,                0.70642,                0.42385,                 1.0268,                0.99905,                      1,                  0.995,                0.83168,                0.70831,                0.30458,                 1.0236,              0.0014624,              0.0014624,              0.0014624
                    126,                0.70452,                0.41469,                 1.0312,                0.99827,                      1,                  0.995,                0.84898,                0.64018,                0.29001,                0.99566,              0.0014607,              0.0014607,              0.0014607
                    127,                 0.7268,                0.44312,                 1.0517,                0.99823,                      1,                  0.995,                0.82082,                0.71812,                0.31412,                 1.0361,              0.0014591,              0.0014591,              0.0014591
                    128,                0.70386,                0.44281,                 1.0172,                0.99905,                      1,                  0.995,                0.85136,                0.63179,                0.27547,                0.98917,              0.0014574,              0.0014574,              0.0014574
                    129,                0.69655,                0.41324,                 1.0351,                 0.9988,                      1,                  0.995,                0.82911,                0.71126,                0.29527,                 1.0323,              0.0014558,              0.0014558,              0.0014558
                    130,                0.69852,                0.43966,                 1.0282,                0.99941,                0.99966,                  0.995,                0.84644,                0.64738,                0.27551,                 1.0006,              0.0014541,              0.0014541,              0.0014541
                    131,                0.71148,                0.43308,                  1.029,                0.99941,                0.99974,                  0.995,                0.82272,                0.70643,                0.29874,                 1.0328,              0.0014525,              0.0014525,              0.0014525
                    132,                0.73237,                 0.4322,                 1.0432,                0.99934,                      1,                  0.995,                0.83904,                0.65604,                0.28117,                 1.0111,              0.0014508,              0.0014508,              0.0014508
                    133,                0.71929,                0.42672,                 1.0336,                0.99863,                      1,                  0.995,                0.84693,                0.66469,                 0.2869,                 1.0153,              0.0014492,              0.0014492,              0.0014492
