                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1004,                 3.3211,                 2.0737,                0.27574,                0.42443,                0.21559,                0.09806,                 1.6908,                 2.5088,                 1.5757,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.3463,                  2.142,                 1.4095,                0.48534,                0.64291,                0.52853,                0.31572,                 1.4945,                 3.6508,                  1.299,             0.00044964,             0.00044964,             0.00044964
                      3,                 1.1279,                 1.4466,                 1.2535,                0.51841,                0.97105,                0.66875,                0.45472,                 1.1397,                 1.3171,                 1.1909,             0.00068212,             0.00068212,             0.00068212
                      4,                 1.0141,                 1.2251,                 1.2035,                0.63156,                0.65535,                0.67706,                0.38518,                 1.2784,                 1.6596,                 1.3576,             0.00091413,             0.00091413,             0.00091413
                      5,                 1.0026,                 1.0875,                 1.1801,                0.87964,                0.87203,                0.94286,                0.62375,                 1.0682,                0.92033,                 1.1587,              0.0011457,              0.0011457,              0.0011457
                      6,                0.99097,                 1.0123,                 1.1622,                0.73632,                0.87029,                0.89466,                0.66068,                0.99752,                 1.0628,                 1.1381,              0.0013768,              0.0013768,              0.0013768
                      7,                0.98677,                 1.0029,                 1.1651,                0.85335,                0.95054,                0.98751,                0.73708,                0.92966,                0.72857,                 1.0887,              0.0016074,              0.0016074,              0.0016074
                      8,                0.89863,                0.86399,                 1.1313,                0.99215,                0.98198,                0.99446,                0.76646,                0.90541,                0.57759,                 1.0415,              0.0016554,              0.0016554,              0.0016554
                      9,                 0.8998,                0.80394,                 1.1025,                0.89763,                0.93243,                0.98682,                0.76606,                0.83593,                0.70285,                 1.0149,              0.0016538,              0.0016538,              0.0016538
                     10,                0.90701,                0.76423,                 1.1193,                0.98113,                0.97411,                0.99232,                0.77978,                 0.8464,                0.57659,                 1.0045,              0.0016521,              0.0016521,              0.0016521
                     11,                0.89782,                0.77429,                 1.1049,                0.84252,                0.94225,                0.99084,                0.77828,                0.80568,                0.68138,                0.98963,              0.0016505,              0.0016505,              0.0016505
                     12,                0.92522,                0.78341,                 1.1216,                0.89318,                0.93569,                0.98906,                0.76728,                0.84618,                0.67808,                 1.0278,              0.0016488,              0.0016488,              0.0016488
                     13,                0.90191,                 0.7342,                 1.1262,                0.97919,                0.94288,                0.99253,                0.78106,                0.79404,                0.56767,                  1.007,              0.0016472,              0.0016472,              0.0016472
                     14,                0.89236,                0.72562,                 1.1291,                0.97213,                0.99357,                0.99455,                0.78576,                0.79103,                0.50664,                 1.0591,              0.0016455,              0.0016455,              0.0016455
                     15,                0.84949,                0.66771,                  1.098,                0.99395,                 0.9898,                0.99375,                0.79629,                0.77467,                0.44639,                 1.0314,              0.0016439,              0.0016439,              0.0016439
                     16,                0.87341,                0.63252,                 1.0966,                0.97386,                0.98916,                0.99451,                0.78969,                0.79783,                0.48982,                  1.041,              0.0016422,              0.0016422,              0.0016422
                     17,                0.85032,                0.65535,                    1.1,                0.97594,                 0.9955,                0.99404,                0.79716,                0.74221,                0.47696,                  1.035,              0.0016406,              0.0016406,              0.0016406
                     18,                0.85486,                0.65457,                 1.0984,                0.98112,                0.98867,                0.99392,                 0.7887,                0.76865,                0.48542,                 1.0353,              0.0016389,              0.0016389,              0.0016389
                     19,                0.87946,                0.66135,                 1.1182,                0.97867,                0.98605,                0.99491,                0.78175,                0.79096,                0.47546,                 1.0236,              0.0016373,              0.0016373,              0.0016373
                     20,                0.85553,                0.62097,                 1.0891,                0.98152,                0.97441,                0.99171,                0.78523,                0.78659,                0.45974,                 1.0611,              0.0016356,              0.0016356,              0.0016356
                     21,                0.85141,                0.62767,                 1.1124,                0.99464,                0.98518,                 0.9932,                0.79456,                0.76587,                0.43499,                 1.0511,               0.001634,               0.001634,               0.001634
                     22,                0.84909,                0.60402,                 1.0861,                0.99945,                0.99374,                  0.995,                0.79491,                0.78495,                0.40623,                  1.044,              0.0016323,              0.0016323,              0.0016323
                     23,                0.85507,                0.62427,                 1.0896,                0.98282,                0.99181,                0.99285,                0.78889,                0.80078,                0.43149,                 1.0278,              0.0016307,              0.0016307,              0.0016307
                     24,                0.84088,                0.60909,                 1.0775,                0.99313,                0.99099,                0.99473,                0.80847,                0.75516,                0.39278,                 1.0008,               0.001629,               0.001629,               0.001629
                     25,                0.83909,                0.61321,                  1.099,                0.99551,                0.99646,                  0.995,                0.76995,                0.88243,                0.41496,                 1.0549,              0.0016274,              0.0016274,              0.0016274
                     26,                 0.8765,                0.61595,                 1.1055,                0.97539,                0.98902,                0.99438,                0.80293,                0.76336,                0.40355,                 1.0277,              0.0016257,              0.0016257,              0.0016257
                     27,                0.84988,                0.57964,                 1.0937,                0.98482,                0.98724,                0.99406,                0.80213,                0.76844,                0.41441,                  1.027,              0.0016241,              0.0016241,              0.0016241
                     28,                0.81566,                0.57464,                 1.0636,                0.99609,                0.99099,                0.99496,                0.80592,                0.75904,                0.39242,                  1.053,              0.0016224,              0.0016224,              0.0016224
                     29,                0.84183,                0.64957,                 1.0946,                0.97906,                0.98883,                0.99161,                0.79148,                 0.7729,                0.44304,                 1.0498,              0.0016208,              0.0016208,              0.0016208
