                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7847,                 2.7738,                 1.7415,                0.49465,                0.88288,                0.64003,                  0.439,                 1.1096,                 2.0013,                 1.2683,             0.00018577,             0.00018577,             0.00018577
                      2,                 1.0476,                 1.5371,                 1.2496,                0.56232,                0.91816,                0.77229,                0.57877,                0.87604,                 1.8854,                 1.1363,             0.00038564,             0.00038564,             0.00038564
                      3,                0.97049,                  1.199,                 1.1883,                0.50907,                0.95946,                0.79325,                0.57964,                  0.876,                 4.7613,                 1.1478,             0.00058531,             0.00058531,             0.00058531
                      4,                0.94464,                 1.0804,                  1.183,                0.76808,                0.81532,                0.86692,                0.59613,                0.96463,                  2.357,                 1.3732,             0.00078478,             0.00078478,             0.00078478
                      5,                0.97369,                0.99381,                 1.2003,                0.89023,                0.96396,                0.97415,                0.70488,                0.98794,                 1.7145,                 1.2819,             0.00098406,             0.00098406,             0.00098406
                      6,                0.99359,                0.93621,                 1.2079,                0.63249,                0.63012,                0.59633,                0.40091,                 1.5962,                  2.014,                 1.7111,              0.0011831,              0.0011831,              0.0011831
                      7,                 1.0163,                0.86175,                 1.2133,                0.77174,                0.66667,                0.73594,                0.51822,                 1.4434,                 1.5676,                 1.8574,               0.001382,               0.001382,               0.001382
                      8,                0.92092,                0.74145,                 1.1749,                0.82109,                0.85727,                0.96881,                0.72013,                0.99566,                 1.4618,                 1.3542,               0.001424,               0.001424,               0.001424
                      9,                0.95737,                0.74833,                 1.1625,                0.89309,                0.90781,                0.96827,                0.68482,                0.93726,                0.89125,                 1.2886,              0.0014233,              0.0014233,              0.0014233
                     10,                0.94548,                0.70676,                  1.168,                0.83331,                 0.9259,                0.88574,                0.67322,                0.89055,                0.76841,                 1.2265,              0.0014226,              0.0014226,              0.0014226
                     11,                0.93737,                0.72399,                 1.1571,                0.84848,                0.95641,                0.94723,                0.67139,                0.96362,                0.90047,                 1.2497,              0.0014219,              0.0014219,              0.0014219
                     12,                0.96643,                0.74501,                 1.1683,                0.98092,                0.96139,                0.98599,                0.74681,                0.88429,                0.79854,                 1.2074,              0.0014212,              0.0014212,              0.0014212
                     13,                0.95438,                0.68244,                 1.1807,                0.92844,                0.93243,                0.96767,                0.75148,                0.85951,                0.90477,                 1.1807,              0.0014205,              0.0014205,              0.0014205
                     14,                 0.9247,                0.69153,                 1.1529,                0.93339,                0.91014,                0.95536,                0.74687,                0.84959,                 1.0283,                 1.1636,              0.0014198,              0.0014198,              0.0014198
                     15,                0.90384,                0.68839,                  1.139,                0.86237,                0.89869,                0.93417,                0.71475,                0.86971,                0.88406,                 1.1872,              0.0014191,              0.0014191,              0.0014191
                     16,                0.93352,                0.65509,                 1.1545,                0.96747,                0.95709,                0.98319,                0.75221,                 0.8823,                0.68173,                  1.157,              0.0014184,              0.0014184,              0.0014184
                     17,                0.94181,                0.66387,                  1.147,                0.91029,                0.95264,                0.96996,                0.76058,                 0.8345,                0.84038,                 1.1426,              0.0014177,              0.0014177,              0.0014177
                     18,                0.91321,                0.66154,                 1.1357,                0.99114,                0.99847,                0.99216,                0.75166,                0.86906,                0.55511,                 1.1707,               0.001417,               0.001417,               0.001417
                     19,                0.90967,                0.63035,                 1.1584,                0.97611,                      1,                0.98933,                0.78271,                0.78725,                0.47171,                 1.1076,              0.0014163,              0.0014163,              0.0014163
                     20,                0.92091,                0.63624,                 1.1423,                0.90504,                0.92342,                0.96481,                0.74473,                0.83806,                0.79166,                 1.1398,              0.0014156,              0.0014156,              0.0014156
                     21,                0.90015,                0.66517,                 1.1594,                 0.9796,                 0.9955,                0.99432,                0.76095,                0.85394,                0.58033,                  1.161,              0.0014149,              0.0014149,              0.0014149
                     22,                0.86253,                0.63095,                  1.114,                0.97979,                0.96676,                 0.9913,                0.77662,                0.84576,                0.61564,                 1.1456,              0.0014141,              0.0014141,              0.0014141
                     23,                0.89774,                0.65833,                 1.1369,                0.98552,                0.98552,                0.99447,                 0.7823,                0.79533,                0.44041,                 1.1157,              0.0014134,              0.0014134,              0.0014134
                     24,                0.88515,                0.59122,                 1.1117,                0.96777,                0.96396,                0.99269,                0.73856,                0.94046,                0.54423,                 1.1942,              0.0014127,              0.0014127,              0.0014127
