                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4266,                 2.1136,                 1.5341,                0.45079,                0.82867,                0.58638,                0.38007,                 1.1903,                 2.1348,                 1.4072,             0.00046877,             0.00046877,             0.00046877
                      2,                 1.2247,                 1.3245,                 1.3637,                0.57854,                0.70072,                0.63332,                0.39853,                 1.4285,                 1.6876,                 1.5139,             0.00094323,             0.00094323,             0.00094323
                      3,                 1.2217,                  1.179,                 1.3184,                0.76501,                0.81343,                0.82114,                0.48342,                 1.2975,                 1.1323,                 1.4055,              0.0014158,              0.0014158,              0.0014158
