                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5546,                 2.3604,                 1.6996,                0.52904,                  0.833,                0.68214,                0.43809,                 1.2237,                 1.3659,                  1.553,              0.0032804,              0.0032804,              0.0032804
                      2,                 1.2286,                 1.4029,                 1.3526,                0.55984,                0.88021,                0.79244,                0.52899,                 1.1619,                 1.6268,                 1.2813,              0.0066072,              0.0066072,              0.0066072
                      3,                 1.2392,                 1.2029,                 1.2598,                 0.7656,                0.84573,                0.87347,                0.59282,                   1.15,                0.99445,                 1.2508,              0.0099274,              0.0099274,              0.0099274
                      4,                 1.1992,                  1.072,                 1.2176,                0.63831,                0.79046,                 0.8223,                0.53598,                  1.184,                 1.3133,                 1.3148,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.2128,                 1.0067,                 1.2366,                0.78197,                0.86612,                0.89793,                0.58926,                 1.1826,                0.88101,                 1.2732,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.2237,                  1.024,                 1.2433,                 0.8396,                0.86223,                0.93084,                0.62361,                 1.1489,                0.82994,                 1.2897,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.1956,                0.96875,                 1.2206,                0.80091,                0.82812,                0.91329,                0.60828,                 1.1705,                0.87555,                   1.29,              0.0099406,              0.0099406,              0.0099406
                      8,                  1.192,                0.94311,                 1.2277,                0.50977,                0.60552,                0.57979,                0.35099,                 1.3079,                 1.7366,                 1.3954,              0.0099307,              0.0099307,              0.0099307
                      9,                  1.229,                0.96088,                 1.2582,                0.70813,                 0.7516,                0.79619,                 0.5186,                 1.2124,                 1.2185,                 1.2944,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.1824,                0.88241,                  1.215,                0.79049,                0.89302,                0.91172,                0.62707,                 1.1039,                0.78483,                 1.2394,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.1997,                0.92196,                 1.2363,                0.79717,                0.87928,                0.92004,                0.62077,                 1.1368,                0.74153,                 1.2514,               0.009901,               0.009901,               0.009901
                     12,                 1.1876,                0.87178,                 1.2349,                0.83557,                0.87157,                0.90376,                0.58741,                 1.2492,                 0.8404,                 1.3206,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.1728,                0.85412,                 1.2199,                0.86351,                 0.8861,                0.95622,                0.66811,                 1.0799,                0.66343,                 1.2152,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.1416,                0.84853,                 1.1996,                0.63131,                0.78461,                0.75964,                0.50202,                 1.2385,                 1.3684,                 1.2778,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.1622,                0.83303,                 1.2084,                0.87818,                  0.875,                0.95713,                0.67054,                 1.0894,                0.64003,                 1.2117,              0.0098614,              0.0098614,              0.0098614
